Country,Region,Population,Area (sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Crops (%),Climate,Birthrate,Deathrate,Agriculture
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,"163,07",700,"36,0","0,22",1,"46,6","20,34","0,38"
Albania ,EASTERN EUROPE                     ,3581655,28748,"21,52",4500,"86,5","4,42",3,"15,11","5,22","0,232"
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,31,6000,"70,0","0,25",1,"17,14","4,61","0,101"
American Samoa ,OCEANIA                            ,57794,199,"9,27",8000,"97,0",15,2,"22,46","3,27",
Andorra ,WESTERN EUROPE                     ,71201,468,"4,05",19000,"100,0",0,3,"8,71","6,25",
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,"191,19",1900,"42,0","0,24",,"45,11","24,2","0,096"
Anguilla ,LATIN AMER. & CARIB    ,13477,102,"21,03",8600,"95,0",0,2,"14,17","5,34","0,04"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,"19,46",11000,"89,0","4,55",2,"16,93","5,37","0,038"
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,"15,18",11200,"97,1","0,48",3,"16,73","7,55","0,095"
Armenia ,C.W. OF IND. STATES ,2976372,29800,"23,28",3500,"98,6","2,3",4,"12,07","8,23","0,239"
Aruba ,LATIN AMER. & CARIB    ,71891,193,"5,89",28000,"97,0",0,2,"11,03","6,68","0,004"
Australia ,OCEANIA                            ,20264082,7686850,"4,69",29000,"100,0","0,04",1,"12,14","7,51","0,038"
Austria ,WESTERN EUROPE                     ,8192880,83870,"4,66",30000,"98,0","0,86",3,"8,74","9,76","0,018"
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,"81,74",3400,"97,0","2,71",1,"20,74","9,75","0,141"
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,13940,"25,21",16700,"95,6","0,4",2,"17,57","9,05","0,03"
Bahrain ,NEAR EAST                          ,698585,665,"17,27",16900,"89,1","5,63",1,"17,8","4,14","0,005"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,"62,6",1900,"43,1","3,07",2,"29,8","8,27","0,199"
Barbados ,LATIN AMER. & CARIB    ,279912,431,"12,5",15700,"97,4","2,33",2,"12,71","8,67","0,06"
